Life Expectancy,Region,Sex,Period
76.7,Newport,Male,2004-2006
80.7,Newport,Female,2004-2006
77.1,Newport,Male,2005-2007
80.9,Newport,Female,2005-2007
77.0,Newport,Male,2006-2008
81.5,Newport,Female,2006-2008
78.7,Cardiff,Male,2004-2006
83.3,Cardiff,Female,2004-2006
78.6,Cardiff,Male,2005-2007
83.7,Cardiff,Female,2005-2007
78.7,Cardiff,Male,2006-2008
83.4,Cardiff,Female,2006-2008
76.6,Monmouthshire,Male,2004-2006
81.3,Monmouthshire,Female,2004-2006
76.5,Monmouthshire,Male,2005-2007
81.5,Monmouthshire,Female,2005-2007
76.6,Monmouthshire,Male,2006-2008
81.7,Monmouthshire,Female,2006-2008
75.5,Merthyr-Tydfil,Male,2004-2006
79.1,Merthyr-Tydfil,Female,2004-2006
75.5,Merthyr-Tydfil,Male,2005-2007
79.4,Merthyr-Tydfil,Female,2005-2007
74.9,Merthyr-Tydfil,Male,2006-2008
79.6,Merthyr-Tydfil,Female,2006-2008
